season,player,type,ws,terms,contract_yrs,yr_1_salary,Source
2016,Aaron Brooks,UFA,0.9,Signed 1-yr/$2.5M deal with Pacers,1,2700000.00,capology
2017,Aaron Brooks,UFA,0.3,Signed with Timberwolves,1,2116955.00,spotrac
2018,Aaron Brooks,UFA,0.1,NA,0,0.00,NA
2018,Aaron Gordon,RFA,2.9,Signed 4-yr $76MM contract,4,21590909.00,capology
2018,Aaron Harrison,UFA,-0.1,Will reportedly play in Turkey,0,0.00,NA
2018,Aaron Jackson,UFA,0,NA,0,0.00,NA
2018,Abdel Nader,UFA,-0.1,NA,0,0.00,NA
2017,Adreian Payne,UFA,0.2,Signed 2-way contract with Magic,0,0.00,NA
2016,Al Horford,UFA,9.4,Signed 4-yr/$113M deal with Celtics,4,26540100.00,capology
2019,Al Horford,UFA,7.5,Signed 4-yr $109M contract,4,28000000.00,capology
2016,Al Jefferson,UFA,2.8,Signed 3-yr/$30M deal with Pacers,3,10230179.00,capology
2018,Al Jefferson,UFA,1.6,Will reportedly play in China,0,0.00,NA
2019,Al-Farouq Aminu,UFA,5.8,Signed 3-yr $29.16M contract,3,9258000.00,capology
2016,Alan Anderson,UFA,0.3,Signed 1-yr deal with Clippers,1,1315448.00,capology
2017,Alan Anderson,UFA,0.1,NA,0,0.00,NA
2017,Alan Williams,RFA,2.1,Signed 3-yr/$17M deal with Suns,3,6000000.00,capology
2018,Alan Williams,UFA,0,Signed two-way contract,0,0.00,NA
2019,Alan Williams,UFA,0.2,Will reportedly play in Russia,0,0.00,NA
2019,Alec Burks,UFA,1.5,Signed 1-yr $2.32M contract,1,2320044.00,capology
2018,Alec Peters,UFA,0.3,Will reportedly play in Russia,0,0.00,NA
2019,Álex Abrines,UFA,0.6,Will reportedly play in Spain,0,0.00,NA
2019,Alex Caruso,RFA,1,Signed 2-yr $5.5M contract,2,2750000.00,capology
2018,Alex Len,UFA,4.5,Signed 2-yr $8.51MM contract,2,4350000.00,capology
2017,Alex Len,RFA,3,*qualifying offer*,1,4187599.00,capology
2017,Alex Poythress,UFA,0.3,Signed 2-way contract with Pacers,0,0.00,NA
2018,Alex Poythress,UFA,0.1,Signed two-way contract,0,0.00,NA
2019,Alex Poythress,UFA,0.5,NA,0,0.00,NA
2018,Alfonzo McKinnie,UFA,0.1,Signed training camp deal,0,0.00,NA
2016,Allen Crabbe,RFA,4.3,Signed 4-yr/$75M deal with Trail Blazers,4,18500000.00,capology
2016,Alonzo Gee,UFA,1.9,Signed 1-yr/$1.4M deal with Pelicans,1,1400000.00,capology
2017,Amir Johnson,UFA,5,Signed 1-yr/$11M deal with 76ers,1,11000000.00,capology
2018,Amir Johnson,UFA,4.1,Signed 1-yr minimum salary contract,1,2393887.00,capology
2019,Amir Johnson,UFA,1.1,NA,0,0.00,NA
2016,Anderson Varejão,UFA,1,Signed 1-year deal with Warriors,1,1551659.00,capology
2016,Andre Drummond,RFA,7.4,Signed 5-yr/$130M deal with Pistons,5,22116750.00,capology
2017,Andre Iguodala,UFA,6.9,Signed 3-yr/$48M deal with Warriors,3,14814815.00,capology
2018,Andre Ingram,UFA,0.2,NA,0,0.00,NA
2016,Andre Miller,UFA,1,NA,0,0.00,NA
2017,Andre Roberson,RFA,4.2,Signed 3-yr/$30M deal with Thunder,3,9259259.00,capology
2017,Andrew Bogut,UFA,0.7,Reportedly agreed to 1-yr deal with Lakers,1,2328652.00,spotrac
2019,Andrew Bogut,UFA,0.3,NA,0,0.00,NA
2019,Andrew Harrison,UFA,-0.1,Signed training camp deal,0,0.00,NA
2016,Andrew Nicholson,RFA,1.6,Signed 4-yr/$26M deal with Wizards,4,6088993.00,capology
2018,Andrew White,UFA,-0.1,Will reportedly play in Turkey,0,0.00,NA
2019,Ángel Delgado,UFA,0,Will reportedly play in China,0,0.00,NA
2016,Anthony Bennett,UFA,0.1,Signed 2-yr deal with Nets,2,1015696.00,capology
2017,Anthony Morrow,UFA,1.2,Signed 1-yr deal with Trail Blazers,1,2116955.00,spotrac
2016,Anthony Tolliver,UFA,2.8,Signed 2-yr/$16M deal with Kings,2,8000000.00,capology
2017,Anthony Tolliver,UFA,2.3,Signed 1-yr/$3.3M deal with Pistons,1,3290000.00,capology
2018,Anthony Tolliver,UFA,5.3,Signed 1-yr $5.75MM contract,1,5750000.00,capology
2019,Anthony Tolliver,UFA,1.2,Signed 1-yr $2.56M contract,1,2564753.00,spotrac
2019,Antonio Blakeney,UFA,-0.5,Will reportedly play in China,0,0.00,NA
2018,Antonius Cleveland,UFA,0,Signed two-way contract,0,0.00,NA
2017,Archie Goodwin,UFA,0.7,NA,0,0.00,NA
2017,Aron Baynes,UFA,3,Signed 1-yr/$4.3M deal with Celtics,1,4328000.00,capology
2018,Aron Baynes,UFA,3,Signed 2-yr $10.647MM contract,2,5193600.00,capology
2016,Arron Afflalo,UFA,2.7,Signed 2-yr/$25M deal with Kings,2,12500000.00,capology
2017,Arron Afflalo,UFA,1.4,Signed 1-yr deal with Magic,1,1471382.00,capology
2018,Arron Afflalo,UFA,0.1,NA,0,0.00,NA
2016,Austin Rivers,UFA,1.9,Signed 3-yr/$35.7M deal with Clippers,3,11000000.00,capology
2019,Austin Rivers,UFA,1.2,Signed 2-yr $4.54M contract,2,2174318.00,capology
2018,Avery Bradley,UFA,-0.2,Reportedly agreed to 2-yr $24.96MM contract,2,12000000.00,capology
2019,Avery Bradley,UFA,0.3,Signed 2-yr $9.77M contract,2,4767000.00,capology
2019,B.J. Johnson,UFA,0.1,Signed Exhibit 10 contract,0,0.00,NA
2017,Ben McLemore,UFA,0.4,Signed 2-yr/$10.6M deal with Grizzlies,2,5200000.00,capology
2019,Ben McLemore,UFA,0.2,Signed 2-yr $4.01M contract,2,2028594.00,capology
2016,Beno Udrih,UFA,0.4,Reportedly agreed to 1-yr deal with Heat,1,1551659.00,bball-insiders
2017,Beno Udrih,UFA,1.3,NA,0,0.00,NA
2019,Billy Garrett,UFA,0,Will reportedly play in France,0,0.00,NA
2016,Bismack Biyombo,UFA,5.9,Signed 4-yr/$72M deal with Magic,4,17000000.00,capology
2017,Blake Griffin,UFA,7.7,Signed 5-yr/$173M deal with Clippers,5,29512900.00,capology
2016,Boban Marjanović,RFA,3.4,Signed 3-yr/$21M deal with Pistons,3,7000000.00,capology
2019,Boban Marjanović,UFA,3,Signed 2-yr $7M contract,2,3500000.00,capology
2017,Bobby Brown,UFA,0.1,Reportedly agreed to 1-yr deal with Rockets,1,1524305.00,spotrac
2019,Bobby Portis,UFA,1.6,Signed 2-yr $30.75M contract,2,15000000.00,capology
2017,Bojan Bogdanović,UFA,2.9,Signed 2-yr/$21M deal with Pacers,2,10500000.00,capology
2019,Bojan Bogdanović,UFA,6.8,Signed 4-yr $73.1M contract,4,17000000.00,capology
2019,Bonzie Colson,UFA,0.2,Will reportedly play in Turkey,0,0.00,NA
2017,Boris Diaw,UFA,1.1,Signed in France,0,0.00,NA
2019,Brad Wanamaker,UFA,1,Signed 1-yr $1.44M contract,1,1445697.00,capology
2016,Bradley Beal,RFA,2.7,Signed 5-yr/$128M deal with Wizards,5,22116750.00,capology
2016,Brandon Bass,UFA,4.1,Signed 1-yr deal with Clippers,1,1551659.00,spotrac
2017,Brandon Bass,UFA,2.2,Will reportedly play in China,0,0.00,NA
2016,Brandon Jennings,UFA,1.5,Signed 1-yr/$5M deal with Knicks,1,4837500.00,capology
2017,Brandon Jennings,UFA,1.7,Will reportedly play in China,0,0.00,NA
2018,Brandon Jennings,UFA,0.1,Will reportedly play in Russia,0,0.00,NA
2018,Brandon Paul,UFA,0.5,NA,0,0.00,NA
2016,Brandon Rush,UFA,2,Signed 1-yr/$3.5M deal with Timberwolves,1,3500000.00,capology
2017,Brandon Rush,UFA,0.4,Signed with Bucks,1,2116955.00,spotrac
2019,Brandon Sampson,UFA,0,NA,0,0.00,NA
2016,Brian Roberts,UFA,1,Signed 1-yr minimum salary deal with Hornets,1,1050961.00,spotrac
2017,Brian Roberts,UFA,0.2,Reportedly signed contract in Greece,0,0.00,NA
2017,Briante Weber,UFA,0.3,Signed deal with Lakers,1,815615.00,bball-insiders
2018,Brook Lopez,UFA,3.8,Signed 1-yr $3.382MM contract,1,3382000.00,capology
2019,Brook Lopez,UFA,6.7,Signed 4-yr $52M contract,4,12093024.00,capology
2018,Bruno Caboclo,UFA,0,Signed Exhibit 10 contract,0,0.00,NA
2018,Bryn Forbes,RFA,2.1,Signed to 2-yr $6MM contract,2,3125000.00,capology
2017,C.J. Miles,UFA,4,Signed 3-yr/$25M deal with Raptors,3,7936508.00,capology
2017,C.J. Watson,UFA,0.9,NA,0,0.00,NA
2017,C.J. Wilcox,UFA,-0.2,Signed two-way deal with Trail Blazers,0,0.00,NA
2019,C.J. Williams,UFA,0.1,Signed 1-yr $1.62M contract,1,1620564.00,spotrac
2018,C.J. Williams,UFA,0.7,NA,0,0.00,NA
2019,Cameron Payne,UFA,0.5,Signed 2-yr minimum salary contract,2,1737145.00,spotrac
2019,Cameron Reynolds,UFA,0.4,Signed two-way contract,0,0.00,NA
2018,Carmelo Anthony,UFA,3.7,Signed 1-yr minimum salary contract,1,2393887.00,capology
