player,type,experience,season,contract_yrs,first_year_percent_of_cap
Adam Mokoka,RFA,2,2021,NA,NA
Alec Burks,UFA,10,2021,NA,NA
Alex Caruso,UFA,4,2021,NA,NA
Alex Len,UFA,8,2021,NA,NA
Amir Coffey,RFA,2,2021,NA,NA
Andre Drummond,UFA,9,2021,NA,NA
Andre Iguodala,CO,16,2021,NA,15000000
Anthony Lamb,RFA,1,2021,NA,NA
Armoni Brooks,RFA,1,2021,NA,NA
Austin Rivers,UFA,9,2021,NA,NA
Avery Bradley,CO,10,2021,NA,5916750
Axel Toupane,RFA,3,2021,NA,NA
Ben McLemore,UFA,8,2021,NA,NA
Bismack Biyombo,UFA,10,2021,NA,NA
Blake Griffin,UFA,11,2021,NA,NA
Boban Marjanović,UFA,6,2021,NA,NA
Bobby Portis,PO,5,2021,NA,3804150
Brad Wanamaker,UFA,3,2021,NA,NA
Brandon Goodwin,RFA,3,2021,NA,NA
Brodric Thomas,RFA,1,2021,NA,NA
Bruce Brown,RFA,3,2021,NA,NA
Bryn Forbes,PO,4,2021,NA,2454002
Cameron Reynolds,RFA,3,2021,NA,NA
Cameron Oliver,RFA,1,2021,NA,NA
Cameron Payne,UFA,6,2021,NA,NA
Carmelo Anthony,UFA,17,2021,NA,NA
Cassius Stanley,RFA,1,2021,NA,NA
Cassius Winston,RFA,1,2021,NA,NA
Chasson Randle,UFA,4,2021,NA,NA
Chris Chiozza,RFA,3,2021,NA,NA
Chris Paul,PO,15,2021,NA,44211146
Cody Zeller,UFA,8,2021,NA,NA
Cristiano Felício,UFA,6,2021,NA,NA
Daniel Theis,UFA,4,2021,NA,NA
Danny Green,UFA,12,2021,NA,NA
Dante Exum,UFA,7,2021,NA,NA
DaQuan Jeffries,CO,1,2021,NA,1701593
David Nwaba,UFA,5,2021,NA,NA
DeMar DeRozan,UFA,12,2021,NA,NA
DeMarcus Cousins,UFA,10,2021,NA,NA
Dennis Schröder,UFA,8,2021,NA,NA
Dennis Smith Jr.,RFA,4,2021,NA,NA
Denzel Valentine,UFA,4,2021,NA,NA
Deonte Burton,UFA,3,2021,NA,NA
Derrick Jones Jr.,PO,4,2021,NA,9720900
Derrick Rose,UFA,13,2021,NA,NA
Devon Dotson,RFA,1,2021,NA,NA
Devontae Cacok,RFA,2,2021,NA,NA
Devonte' Graham,RFA,3,2021,NA,NA
Dewayne Dedmon,UFA,8,2021,NA,NA
Didi Louzada,CO,0,2021,NA,1517981
D.J. Wilson,RFA,4,2021,NA,NA
Doug McDermott,UFA,7,2021,NA,NA
Duncan Robinson,RFA,3,2021,NA,NA
Dwight Howard,UFA,17,2021,NA,NA
E'Twaun Moore,UFA,10,2021,NA,NA
Ed Davis,UFA,11,2021,NA,NA
Edmond Sumner,CO,3,2021,NA,2320000
Elfrid Payton,UFA,7,2021,NA,NA
Enes Kanter,UFA,10,2021,NA,NA
Ersan İlyasova,UFA,14,2021,NA,NA
Evan Fournier,UFA,9,2021,NA,NA
Frank Jackson,UFA,4,2021,NA,NA
Frank Kaminsky,UFA,6,2021,NA,NA
Frank Mason III,UFA,4,2021,NA,NA
Frank Ntilikina,RFA,4,2021,NA,NA
Gabe Vincent,RFA,2,2021,NA,NA
Garrett Temple,UFA,11,2021,NA,NA
Garrison Mathews,RFA,2,2021,NA,NA
Gary Clark,RFA,3,2021,NA,NA
Gary Trent Jr.,RFA,3,2021,NA,NA
Georges Niang,UFA,5,2021,NA,NA
Goran Dragić,CO,12,2021,NA,19440000
Gorgui Dieng,UFA,8,2021,NA,NA
Grant Riller,RFA,1,2021,NA,NA
Hamidou Diallo,RFA,3,2021,NA,NA
Harry Giles,UFA,4,2021,NA,NA
Hassan Whiteside,UFA,9,2021,NA,NA
Ignas Brazdeikis,RFA,2,2021,NA,NA
Isaac Bonga,RFA,3,2021,NA,NA
Isaiah Hartenstein,RFA,2,2021,NA,NA
Ish Smith,UFA,11,2021,NA,NA
J.J. Redick,UFA,15,2021,NA,NA
JaKarr Sampson,UFA,6,2021,NA,NA
Jalen Harris,RFA,1,2021,NA,NA
James Ennis,UFA,7,2021,NA,NA
James Johnson,UFA,12,2021,NA,NA
James Nunnally,RFA,2,2021,NA,NA
JaMychal Green,UFA,6,2021,NA,NA
Jared Dudley,UFA,14,2021,NA,NA
Jared Harper,RFA,2,2021,NA,NA
Jarred Vanderbilt,RFA,3,2021,NA,NA
Jarrell Brantley,RFA,2,2021,NA,NA
Jarrett Allen,RFA,4,2021,NA,NA
JaVale McGee,UFA,13,2021,NA,NA
Javonte Green,RFA,2,2021,NA,NA
Jaylen Hoard,RFA,2,2021,NA,NA
Jeff Green,UFA,14,2021,NA,NA
Jeff Teague,UFA,12,2021,NA,NA
Jeremiah Martin,RFA,2,2021,NA,NA
John Collins,RFA,4,2021,NA,NA
Jordan Bell,UFA,4,2021,NA,NA
Jordan McLaughlin,RFA,2,2021,NA,NA
Josh Hall,RFA,1,2021,NA,NA
Josh Hart,RFA,4,2021,NA,NA
Josh Richardson,PO,5,2021,NA,11615328
Justin Jackson,UFA,4,2021,NA,NA
Justise Winslow,CO,5,2021,NA,13000000
Juwan Morgan,RFA,2,2021,NA,NA
Kawhi Leonard,PO,9,2021,NA,36016200
Keita Bates-Diop,RFA,3,2021,NA,NA
Keljin Blevins,RFA,1,2021,NA,NA
Kelly Olynyk,UFA,8,2021,NA,NA
Kelly Oubre Jr.,UFA,6,2021,NA,NA
Kendrick Nunn,RFA,3,2021,NA,NA
Kent Bazemore,UFA,9,2021,NA,NA
Khem Birch,UFA,4,2021,NA,NA
Killian Tillie,RFA,1,2021,NA,NA
Kostas Antetokounmpo,RFA,2,2021,NA,NA
Kris Dunn,PO,4,2021,NA,5005350
Kyle Guy,RFA,2,2021,NA,NA
Kyle Lowry,UFA,15,2021,NA,NA
Langston Galloway,UFA,7,2021,NA,NA
Lauri Markkanen,RFA,4,2021,NA,NA
Lonzo Ball,RFA,4,2021,NA,NA
Louis King,RFA,2,2021,NA,NA
