player,age,type,Y1S2 Cap %,yrs_Y1S2,total_Y1S2,S1Y2 Cap %,yrs_S1Y2,total_S1Y2
DeMar DeRozan,31,UFA,22.80%,2,"$52,540,000",25.23%,2,"$58,140,000"
Mike Conley,33,UFA,20.73%,4,"$100,440,000",18.01%,4,"$87,260,000"
John Collins,23,RFA,17.42%,3,"$61,730,000",16.69%,3,"$59,150,000"
Kyle Lowry,34,UFA,15.60%,2,"$35,950,000",17.71%,2,"$40,810,000"
Norman Powell,27,UFA,17.07%,4,"$82,710,000",15.11%,4,"$73,210,000"
Evan Fournier,28,UFA,15.35%,4,"$74,370,000",12.88%,4,"$62,410,000"
Lonzo Ball,23,RFA,15.47%,4,"$74,950,000",12.66%,4,"$61,340,000"
Kelly Olynyk,29,UFA,14.79%,4,"$71,660,000",12.54%,4,"$60,760,000"
Jarrett Allen,22,RFA,13.93%,3,"$49,370,000",12.88%,3,"$45,640,000"
Dennis Schröder,27,UFA,11.34%,2,"$26,130,000",13.58%,1,"$15,270,000"
Devonte' Graham,25,RFA,12.25%,4,"$59,350,000",10.76%,4,"$52,130,000"
Tim Hardaway Jr.,28,UFA,9.58%,1,"$10,770,000",12.92%,4,"$62,600,000"
Kendrick Nunn,25,RFA,12.82%,4,"$62,120,000",9.65%,4,"$46,760,000"
Danny Green,33,UFA,10.83%,3,"$38,380,000",11.21%,2,"$25,830,000"
Duncan Robinson,26,RFA,11.36%,4,"$55,040,000",10.67%,4,"$51,700,000"
Reggie Bullock,29,UFA,10.92%,4,"$52,910,000",9.54%,4,"$46,220,000"
Kelly Oubre Jr.,25,UFA,9.41%,2,"$21,690,000",10.71%,2,"$24,680,000"
Lauri Markkanen,23,RFA,11.84%,4,"$57,370,000",8.21%,4,"$39,780,000"
Nicolas Batum,32,UFA,9.73%,3,"$34,480,000",10.24%,3,"$36,290,000"
Richaun Holmes,27,UFA,9.44%,2,"$21,750,000",10.44%,2,"$24,060,000"
T.J. McConnell,28,UFA,9.15%,3,"$32,430,000",8.92%,3,"$31,610,000"
Derrick Rose,32,UFA,8.69%,2,"$20,030,000",9.25%,2,"$21,320,000"
Andre Drummond,27,UFA,7.54%,1,"$8,480,000",10.29%,1,"$11,570,000"
Daniel Theis,28,UFA,9.44%,3,"$33,450,000",7.91%,3,"$28,030,000"
Victor Oladipo,28,UFA,7.81%,1,"$8,780,000",9.47%,1,"$10,650,000"
Doug McDermott,29,UFA,7.12%,2,"$16,410,000",8.48%,2,"$19,540,000"
Will Barton,30,UFA,7.50%,2,"$17,280,000",7.39%,2,"$17,030,000"
Nerlens Noel,26,UFA,6.14%,1,"$6,900,000",8.39%,3,"$29,730,000"
Enes Kanter,28,UFA,6.75%,2,"$15,560,000",7.26%,2,"$16,730,000"
Josh Hart,25,RFA,6.61%,2,"$15,230,000",6.89%,2,"$15,880,000"
Reggie Jackson,30,UFA,5.68%,1,"$6,390,000",7.78%,1,"$8,750,000"
