season,cap
2028,147776000
2027,140739000
2026,134037000
2025,127654000
2024,121575000
2023,115786000
2022,112414000
2021,109140000
2020,109140000
2019,101869000
2018,99093000
2017,94143000
2016,70000000
2015,63065000
2014,58679000
2013,58044000
2012,58044000
2011,58044000
2010,57700000
2009,58680000
2008,55630000
2007,53135000
2006,49500000
2005,43870000
2004,43840000
2003,40271000
2002,42500000
2001,35500000
2000,34000000
1999,30000000
1998,26900000
1997,24363000
1996,23000000
1995,15964000
1994,15175000
1993,14000000
1992,12500000
1991,11871000
1990,9802000
1989,7232000
1988,6164000
1987,4945000
1987,4945000
1986,4233000
1985,3600000
